DISTRICT,D20708DR13R,D20708DR14R,D20912DR13R,D20912DR14R,D20AT13R,D20AT14R,D30708DR13R,D30708DR14R,D30912DR13R,D30912DR14R,D30AT13R,D30AT14R,D40708DR13R,D40708DR14R,D40912DR13R,D40912DR14R,D40AT13R,D40AT14R,DA0708DR13R,DA0708DR14R,DA0912DR13R,DA0912DR14R,DA0AT13R,DA0AT14R,DAHEC13R,DAHEC14R,DAHEE13R,DAHEE14R,DB0708DR13R,DB0708DR14R,DB0912DR13R,DB0912DR14R,DB0AT13R,DB0AT14R,DE0708DR13R,DE0708DR14R,DE0912DR13R,DE0912DR14R,DE0AT13R,DE0AT14R,DF0708DR13R,DF0708DR14R,DF0912DR13R,DF0912DR14R,DF0AT13R,DF0AT14R,DH0708DR13R,DH0708DR14R,DH0912DR13R,DH0912DR14R,DH0AT13R,DH0AT14R,DI0708DR13R,DI0708DR14R,DI0912DR13R,DI0912DR14R,DI0AT13R,DI0AT14R,DL0708DR13R,DL0708DR14R,DL0912DR13R,DL0912DR14R,DL0AT13R,DL0AT14R,DM0708DR13R,DM0708DR14R,DM0912DR13R,DM0912DR14R,DM0AT13R,DM0AT14R,DR0708DR13R,DR0708DR14R,DR0912DR13R,DR0912DR14R,DR0AT13R,DR0AT14R,DS0708DR13R,DS0708DR14R,DS0912DR13R,DS0912DR14R,DS0AT13R,DS0AT14R,DW0708DR13R,DW0708DR14R,DW0912DR13R,DW0912DR14R,DW0AT13R,DW0AT14R
"001902",0,0,0,14.3,95.9,96.2,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,0,0,0,1.4,96.1,96.6,90.909090909,65.217391304,62.2,46.9,0,-1,0,0,95.8,96.6,0,0,0,2.7,95.6,95.7,0,0,0,0,96.1,96.5,-1,-1,0,0,95.6,96.4,.,.,.,.,.,.,.,.,-1,-1,-1,-1,0,0,0,2.7,96.2,96.6,0,0,0,0,95.2,96.4,0,0,0,2.6,95.6,95,0,0,0,1.2,96.2,96.6
"001903",0,0,0,0,96,96.6,-1,-1,-1,0,98.5,98.8,.,.,.,.,-1,-1,0,0,0.3,1.6,96.2,96.5,80,85.365853659,35.1,51.3,0,0,0,8.3,96.6,97.4,0,0,0.7,0.7,95.6,96.2,0,0,0,0.5,96,96.4,0,0,0,7.1,96.6,96.8,-1,.,-1,-1,-1,-1,.,.,.,.,95.1,97,0,0,0.5,2.5,96.4,96.6,0,0,0,0,95.8,96.2,0,0,2.5,3.1,96,95.7,0,0,0.3,0.9,96.1,96.3
"001904",0,-1,0,0,94.9,96.7,.,.,-1,-1,-1,-1,.,.,.,.,.,.,0,0,0.4,0.8,96.1,96.4,58.620689655,46.666666667,57.1,66,0,0,0,0,97.4,97.3,0,0,0.8,0.7,95.8,96,0,0,0,1.7,95.8,96.2,0,0,0,0,97.3,96.9,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,98.7,98.9,0,0,0.8,0,96.3,96.6,0,0,0,0,95.4,95.9,0,0,0,0,94.9,95.6,0,0,0.6,1.1,95.8,96.2
"001906",-1,-1,-1,-1,97.4,96.4,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,0,0,0,0.7,96.7,96.6,66.666666667,62.5,50,42.1,0,0,0,0,98.1,97.2,0,0,0,1.7,96,95.9,0,0,0,1.3,96.7,96.5,0,0,0,0,95.8,96.7,.,.,.,.,.,.,-1,.,-1,-1,-1,-1,0,0,0,0,96.8,96.7,0,0,0,0,96.1,96.3,0,0,0,5.6,95.5,95.6,0,0,0,1,96.7,96.5
"001907",0,0,0,10,95.6,95.2,-1,-1,9.1,0,97.1,96.1,.,.,-1,.,-1,-1,0.4,0.2,1.9,0.6,96.1,96.2,70.769230769,66.666666667,48.2,47.5,0,0.6,1.8,1.1,96.4,96.5,0.3,0,2.1,0.7,96.2,96.2,0.4,0,1.7,0.4,96.2,96.2,0.5,0,2.7,0.3,96.5,96.6,-1,-1,0,0,96,95.9,-1,0,16.7,0,96.8,97,0.4,0.4,2.1,0.8,96.1,96.2,0,0.5,2.1,0.4,96,96.2,0,2,1.9,1,95.8,95.3,0.6,0,1.1,0.3,95.4,95.5
"001908",0,0,0,0,96.4,95.9,-1,-1,0,0,98.2,97.8,-1,.,-1,-1,-1,-1,0,0.4,0.6,0.4,96,96.2,79.166666667,73.684210526,49,46.1,0,0,0,0,97.4,96.9,0,0,0.4,0.8,95.8,96,0,0.8,1.3,0.4,95.9,96.3,0,1.7,0,1.5,96.4,96.7,-1,-1,-1,.,-1,-1,-1,10,-1,0,97.6,97.4,0,0,0,0.4,96,96.1,0,0,1.1,0.6,95.6,95.8,0,0,2,2,95.5,95.7,0,0,1,0.3,95.3,95.8
"001909",-1,-1,-1,.,96.9,95.3,.,.,.,.,.,.,.,.,.,.,.,.,1.4,0,1.5,0,97.1,96.8,71.428571429,90.909090909,53.6,44,.,.,-1,-1,-1,-1,2.6,0,3.9,0,96.9,96.1,2.8,0,0,0,96.9,96.6,-1,-1,0,0,97.4,97,.,-1,.,-1,-1,-1,-1,-1,-1,.,-1,-1,0,0,3,0,97.2,97,0,0,0,0,97.1,96.2,0,0,9.5,0,95.4,93.9,1.6,0,1.6,0,97,96.8
"002901",0,0,0,0,95.1,94.9,-1,-1,-1,-1,96.7,97.1,.,.,.,.,-1,-1,0.4,0.7,1.6,0.7,95.7,96,74.418604651,68.292682927,36.7,47.5,0,0,0,0,95.8,96.7,0.5,1.2,2,0.6,95.2,95.4,0.8,0.3,2,0.6,95.7,96.1,0.3,1.1,1.7,0.7,95.8,96.1,-1,-1,0,-1,93.4,95.3,0,4.4,3.2,4.1,96.1,96.4,0,1,1.1,0.7,95.7,96,0.7,0.3,2.8,1,95.4,95.6,0,0,1.9,1.1,95,94.8,0.6,0,1.5,0.6,95.6,95.9
"003801",-1,-1,.,-1,97,96.5,-1,-1,-1,-1,97.8,98.4,-1,-1,.,.,-1,-1,0,0,0,0,96.2,96.5,.,83.333333333,.,60,0,0,0,0,96.5,96.5,0,0,0,0,96.5,96.5,0,0,0,0,96.2,96.5,0,0,0,0,96,96.3,.,-1,.,.,.,-1,.,-1,.,.,.,97.4,0,0,0,0,96.3,96.4,0,0,0,0,96.8,96,0,0,0,0,96.5,96.5,0,0,0,0,96.1,96.4
"003902",0,-1,0,0,95.7,95.3,0,-1,0,0,98,98,.,-1,.,-1,-1,-1,0.2,0,0.5,0.8,96.6,96.3,77.906976744,80,57.1,63.9,0,0,0,2,96.4,96,0.4,0,0.3,0.7,96.1,95.8,0.4,0,0.8,0.5,96.5,96.2,0,0,0,0,97,96.5,.,-1,-1,-1,93.7,95.6,0,0,0,0,97.2,96.9,0,0,0.2,1.2,96.7,96.5,0,0,1,1.6,95.8,95.8,0,0,0,1.6,95.5,94.8,0.3,0,0.7,1,96.5,96.3
"003903",0,0,2.4,0,94.7,94.7,0,0,0,0,97.9,97.8,-1,-1,-1,-1,95.7,95.1,0.6,0.7,2.1,2,96,96.2,69.395017794,74.576271186,58.3,57.8,0.6,1.2,2.1,2.9,95.9,96.2,0.5,0.7,2.3,2,95.8,96.1,0.7,0.5,2.2,1.5,96,96.2,0.6,0.4,2,1.7,96.3,96.6,-1,-1,22.2,0,91.6,93.9,1.8,1,2.9,5.7,97.3,97.4,0.5,0.9,2,2.5,95.9,96.2,0.9,0.9,2.8,2.1,95.4,95.9,0,0,2.9,1.6,94.3,94.5,0.5,0.8,2.1,1.9,95.7,95.8
"003904",-1,-1,8.3,6.7,95.1,96.6,.,.,-1,.,-1,-1,.,-1,-1,.,-1,-1,0,0,1.8,5.1,95.3,95.5,73.97260274,69.811320755,61.8,47.4,-1,0,0,4.8,96.7,95.1,0,0,3.3,6.1,94.8,95,0,0,1.4,5.3,95.1,95.3,0,0,6.1,2.9,95.3,95.7,.,-1,-1,-1,96.3,95.8,-1,-1,-1,-1,97,97.9,0,0,2.2,4.9,95.5,95.7,0,0,2,5.8,94.7,94.7,0,0,3.8,2.6,94,94.2,0,0,1.3,5.2,95.3,95.4
"003905",-1,0,0,0,96,97,-1,-1,-1,.,-1,-1,.,.,-1,.,-1,.,0,0,0,0.4,95.7,95.8,73.23943662,69.117647059,63.5,55.8,0,0,0,1.3,95.8,96.5,0,0,0,0.2,95.7,95.6,0,0,0,0.4,95.6,95.5,0,0,0,0,95.9,95.9,-1,-1,.,-1,-1,-1,0,0,0,0,96.3,96.2,0,0,0,0.4,95.8,96.1,0,0,0,0,95,95.4,0,0,0,0,94.4,94,0,0,0,0.5,95.3,95.2
"003906",-1,-1,-1,-1,93.7,96,.,.,.,.,.,.,.,.,.,.,.,.,0,0,1.4,0.7,95,96.2,78.571428571,58.823529412,51.7,54.8,.,.,.,.,.,-1,0,0,2.7,1.2,94.9,95.8,0,0,1.3,0,95.6,96.5,0,-1,0,0,95.9,97.2,.,-1,-1,.,-1,-1,.,.,.,.,.,.,0,0,1.5,1.4,94.5,96,0,0,0,1.7,94.3,95.7,0,0,4.3,0,94.6,94.7,0,0,1.5,0.7,95,96.2
"003907",-1,-1,-1,-1,95,95.1,-1,.,.,-1,-1,-1,.,.,.,.,-1,.,0,0,1.1,0.4,95.8,95.7,80.701754386,77.358490566,46.3,50,0,0,0,4,95.9,95.3,0,0,0.9,0.5,95.5,95.6,0,0,0.9,0,95.7,95.9,0,0,3.2,0,96.5,96.5,-1,-1,-1,-1,95.6,-1,-1,-1,-1,-1,96.6,96.6,0,0,1.2,0.8,95.9,95.5,0,0,1.5,0.5,94.9,95.4,0,0,2.7,1.6,94.5,94.6,0,0,0.8,0.3,95.7,95.5
"004901",0,0,0,0,95.3,96,0,0,0,0,97.7,97.5,.,.,.,.,.,.,0,0,0.9,0.9,95.1,95.1,76.923076923,80.722891566,48.8,43.6,0,0,0,0,94.9,94.5,0,0,0.8,1.4,94.8,94.7,0,0,0.9,0.2,95.2,95.2,0,0,1.1,1,95.3,95,-1,0,-1,-1,96.2,95.3,0,0,0,0,96.9,97.2,0,0,0.9,1.5,95.1,95.1,0,0,0.7,1.6,94.4,94.1,0,0,0,3.3,93.6,93.2,0,0,0.9,0.9,94.9,95.1
"005901",0,0,0,0,96.1,96.4,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,96.2,96.3,82.352941176,70.588235294,43.6,50,-1,-1,-1,-1,-1,-1,0,0,0,0,95.2,95.4,0,0,0,0,96.3,96.3,0,0,0,0,96.4,95.9,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,96.2,96.3,0,0,0,0,94.7,95.2,0,0,0,0,95.4,94.9,0,0,0,0,96.2,96.4
"005902",-1,-1,-1,-1,94.7,97.8,.,.,.,.,.,-1,.,.,.,.,.,.,0,0,0,0,96.8,97.1,90.322580645,80.487804878,55.2,67.7,-1,-1,-1,-1,-1,-1,0,0,0,0,95.6,96.3,0,0,0,0,96.7,97,0,0,0,0,96.6,97,.,-1,-1,-1,97.1,98.3,.,.,.,.,-1,-1,0,0,0,0,96.9,97.2,0,0,0,0,96.2,96.8,0,0,0,0,95.7,96.2,0,0,0,0,96.8,97.1
"005904",.,.,-1,-1,-1,-1,.,.,-1,.,-1,-1,.,.,.,.,.,.,0,0,1.2,0.6,97.3,97.4,86.363636364,73.333333333,53.7,51.6,.,.,.,.,.,.,0,0,0,1.7,97.3,97,0,0,0,0,97.3,97.5,0,0,0,2.4,97.4,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97.9,98.3,0,0,2.3,1.2,97.2,97.3,0,0,2.4,1.6,96.9,96.7,0,0,0,0,96.3,95.4,0,0,1.6,0,97.2,97.5
"006902",.,.,-1,-1,94,95.1,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0.8,0,96.5,96.4,81.818181818,68.75,70.6,69.6,-1,-1,-1,-1,96.9,95.6,0,0,3.2,0,96.1,96.2,0,0,1.6,0,96.5,96.3,0,0,7.7,0,96.2,96.2,.,.,.,.,-1,-1,.,.,.,.,-1,-1,0,0,0,0,96.4,96.5,0,0,2.4,0,96.1,95.9,0,0,0,0,96.8,96.6,0,0,0,0,96.6,96.4
"007901",.,-1,.,.,-1,-1,.,.,-1,.,-1,.,.,.,.,.,.,.,1.1,0,3.4,0,95.9,96.2,55,36.363636364,58.8,46.4,-1,-1,.,-1,-1,-1,1.4,0,2,0,95.5,95.7,0,0,0,0,95.8,96,1.3,0,3.4,0,96,96.3,-1,-1,-1,.,-1,-1,20,-1,9.1,0,93.8,89.1,1.8,0,6,0,95.9,96.3,0,0,2.2,0,95.7,95.8,-1,0,5.9,0,94.2,95.1,0,0,4,0,95,95.4
"007902",0,-1,-1,0,96.4,96.9,-1,-1,-1,-1,-1,-1,.,.,-1,-1,-1,-1,0,0,2.3,2.4,96.4,96.5,74.358974359,80.64516129,51.3,41.9,-1,-1,-1,-1,98.3,97.6,0,0,3.8,4.2,95.9,96.1,0,0,1.9,2,96.3,96.3,0,0,2.7,3.7,96.1,96.1,-1,-1,.,-1,-1,-1,-1,0,-1,16.7,95.8,96.9,0,0,2.6,2.7,96.5,96.7,0,0,2.7,3.9,95.6,95.8,0,0,8.3,0,95.9,96.8,0,0,1.7,0.5,96.8,97
"007904",-1,-1,-1,-1,96.6,96.6,.,.,.,.,.,.,.,.,.,-1,-1,-1,0,0.3,1.5,2.1,95.3,95.5,59.016393443,68.62745098,52.4,50.9,-1,-1,0,0,94.9,95.6,0,0.4,2,2.4,95.1,95.3,0,0.7,1,1,95.4,95.5,0,0,1.8,2.2,95.3,95.5,-1,-1,.,.,95.7,93.7,0,0,0,16.7,96,96.6,0,0,2.1,3.3,95.2,95.6,0,0,3.4,2.2,94.9,95.3,0,4.5,2.3,8.2,93.2,93.6,0,1.9,0.9,1.9,95.2,95.6
"007905",-1,0,-1,-1,96.2,96.5,.,-1,0,0,97.8,99,.,.,.,-1,.,-1,0.3,0,0.6,0.2,95.2,95.7,59.459459459,62.790697674,41.8,43.1,-1,.,-1,0,96.9,96,0.6,0,0.7,0,94.7,95.3,0.7,0,0.4,0.2,95.3,95.6,0.5,0,0.8,0.3,95,95.6,-1,-1,-1,-1,96.4,-1,0,0,0,0,96.5,96.2,0,0,0.8,0.2,95.1,95.9,1.2,0,0.9,0,94,94.9,0,0,1.8,0,92.9,94.5,0,0,0,0,95.7,96
"007906",-1,.,.,.,96.5,94.7,.,.,-1,-1,-1,-1,-1,.,.,.,-1,-1,0,0,3,0.8,94.2,94.5,52.941176471,44.444444444,47.4,45.6,-1,-1,-1,-1,-1,95.7,0,0,3.6,1.1,93.9,94.3,0,0,1.5,0,94.3,94.7,0,0,3.4,0.9,94.3,94.6,-1,-1,-1,-1,-1,-1,0,0,4.3,0,93.5,94.4,0,0,4.5,1.5,94,94.4,0,0,4.1,1.2,93.6,94,0,0,3.4,0,92.2,93.1,0,0,1.2,0,93.7,94.2
"008901",0,0,5.3,0,95,95.3,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,0,0,0.9,0.5,95.9,96.2,78.947368421,84.536082474,59.8,60.4,0,0,1.5,2.9,95.8,96.1,0,0,1.2,0.8,95.5,95.7,0,0,0.6,0.3,95.6,96,0,0,0.7,0.7,95.8,96,-1,.,-1,-1,-1,96.4,0,0,0,10,96.4,96.2,0,0,1.2,0.6,96.2,96.4,0,0,1.4,0.3,95,95.6,0,0,3.1,0,94.4,95,0,0,0.7,0,96.1,96.4
"008902",0,0,0,0,96.4,95.9,-1,-1,-1,-1,96.6,96,-1,-1,.,.,-1,-1,0,0,1,0.7,96.2,95.9,71.578947368,78.723404255,53.3,50.3,0,0,1,0,95.9,95.8,0,0,0.9,1,96.1,95.7,0,0,1,1.3,96.2,95.8,0,0,0.3,1.7,96.5,96.1,-1,-1,-1,-1,-1,96,0,0,0,3,97,96.8,0,0,0.9,0.2,96.2,96,0,0,1,1.4,95.8,95.4,0,0,3,1.2,94.7,94.2,0,0,1.6,0,95.9,95.8
"008903",-1,-1,-1,0,97.4,96.4,-1,-1,-1,-1,-1,99.3,.,.,.,.,.,.,0,0.8,0.8,0.7,96.4,96.4,90.909090909,73.913043478,66,54.2,0,0,0,2.8,95.8,95.6,0,1.2,1.4,1.4,95.9,96,0,1.6,0,0.8,96.4,96.6,0,0,1.6,0.8,96.3,96.4,.,.,.,.,.,.,0,-1,0,14.3,97.4,97.5,0,0,1.4,0.7,96.4,96.3,0,2,1.1,0,95.6,95.8,0,0,0,0,94.2,94.5,0,2.3,0,0,96.6,96.6
"009901",.,.,.,-1,-1,-1,-1,.,-1,-1,97.8,99.4,.,.,.,.,.,.,0,0,0,0.3,96.3,96.3,53.846153846,68.571428571,38,40.2,.,.,-1,-1,-1,-1,0,0,0,0.3,96.3,96.4,0,0,0,0,96.4,96.6,0,0,0,0.3,96.2,96.3,.,.,.,.,.,.,0,0,0,0,97.2,97.3,0,0,0,0.5,96.1,96.1,0,0,0,0,96.1,96.3,0,0,0,0,95.6,95,0,0,0,0,96.4,96.2
"010901",.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0.9,1.1,96.4,96.3,53.846153846,72.727272727,63.6,50,.,.,-1,-1,-1,-1,0,0,1.7,2,96.5,96.3,0,0,0,1.9,96.7,96.5,0,0,3.6,0,96.5,95.9,.,.,-1,.,-1,-1,.,-1,-1,-1,97.8,97.1,0,0,1.7,0,96.1,96.1,0,0,2,2.2,96.1,96.3,0,0,4.3,7.7,95.6,95.9,0,0,0,1.4,96.4,96.4
"010902",-1,0,0,9.1,95.7,95.7,-1,-1,-1,-1,93.4,92.7,.,.,.,.,.,-1,0,0,0.6,1.4,94.7,95.1,78.571428571,82.278481013,48.3,54.2,.,-1,-1,-1,96.4,95.6,0,0,0.9,2,94.3,94.8,0,0,0.8,1.3,94.5,95,0,0,1.9,1.4,94.6,95.4,-1,-1,0,0,96.4,95.9,0,-1,0,0,95.5,96.7,0,0,0.5,1.5,94.8,95.2,0,0,1.1,1.2,94.1,94.6,0,0,1.1,5,93.5,94.3,0,0,0.2,1.3,94.6,95
"011901",0,0,1.9,1.5,94.6,94.5,-1,0,0,0,96.9,96.8,.,.,-1,-1,-1,-1,0.1,0.1,1.2,1.5,95.1,95.2,67.136150235,66.816143498,45.4,40,0,0,2.9,2.5,95.5,95.4,0.1,0.1,1.9,2,94.9,95.1,0,0.1,0.8,1.1,95,95.2,0.1,0.2,1.2,1.6,95.3,95.4,0,0,0,7.1,94.1,94.5,0,0,2.8,2.8,96.2,96.3,0.1,0.1,1.6,1.9,95.2,95.2,0.1,0,0.9,1.9,94.6,94.9,0.6,0,2.8,1.5,93.7,93.9,0,0,1,1.2,94.8,94.9
"011902",0,0,0,0,93.4,94.6,-1,0,0,0,97.4,97.7,-1,.,-1,-1,-1,-1,0.6,0.3,1.5,1.3,94.6,95.2,60.714285714,65.714285714,47.7,48.1,0,1,2.9,2.1,94.9,95.1,0.9,0.4,2,1.9,94.4,95,0.6,0,0.7,1.4,94.4,95,1.2,0,1.7,1.3,94.8,95.4,-1,-1,-1,-1,92.3,92.1,3.9,0,1.4,4.9,96.1,96.5,0.6,0.6,2.2,1.1,94.8,95.4,2.5,0.5,2.5,1.7,94,94.8,0,0,1.5,2.4,93.2,93.5,0,0.5,0.6,0.9,94.2,94.9
"011904",0,0,0,0,96.2,95.7,.,-1,-1,.,99.6,99.2,-1,.,.,-1,-1,-1,0.4,0.3,1.2,1,95.7,95.8,86.274509804,78.787878788,51.9,45.3,0,0,1.7,0,96,96.3,0.6,0.6,1.8,2.3,95.3,95.4,0.8,0.7,0.3,1,95.8,96,0,1.3,1.6,1.6,95.8,95.7,-1,.,-1,0,96.7,97.8,0,0,11.1,0,96.7,96.6,0,0,1.9,1,95.6,95.6,1.3,0,1,1.7,94.9,95.1,0,3.3,1.3,4.5,94.9,95.2,0.6,0,1,1,95.6,95.8
"011905",-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,96.9,97.2,.,.,.,.,.,-1,.,.,-1,-1,0,0,.,.,97,97.2,0,0,.,.,96.6,97.2,0,0,.,.,97.3,97.4,.,.,.,.,.,.,-1,0,.,.,97.8,97.7,0,0,.,.,97.3,97.2,0,0,.,.,96.8,97.3,0,0,.,.,96.9,97.7,0,0,.,.,96.6,96.9
"012901",-1,-1,0,-1,94.7,94.5,.,-1,-1,-1,-1,-1,.,.,.,.,.,.,0,0,0.6,0.6,96.2,96.8,93.75,72.222222222,57.1,50,-1,-1,0,0,95.5,96.6,0,0,0,1.5,95.7,96.3,0,0,1.1,0,96.3,96.7,0,0,0,0,96.4,96.7,-1,-1,-1,.,97.1,-1,.,.,.,.,-1,.,0,0,0,1.4,96.1,96.9,0,0,4,0,95.7,96.2,0,0,0,0,95.4,96.1,0,0,0,0.9,96.2,96.9
"013801",.,.,.,.,-1,-1,.,.,.,.,98.8,98.9,.,.,.,.,.,.,.,.,.,.,95.9,96.2,.,.,.,.,.,.,.,.,98,-1,.,.,.,.,95.7,96,.,.,.,.,95.5,95.9,.,.,.,.,95.8,96,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,96.4,96.6,.,.,.,.,95.5,95.9,.,.,.,.,95.7,96,.,.,.,.,95.8,96.8
"013901",-1,-1,-1,-1,93.5,94.2,-1,-1,0,0,95.7,97.7,-1,-1,.,.,-1,-1,0.2,0.2,2.4,3.1,93.5,93.7,56.880733945,49.504950495,54.1,42.6,0,0,4.8,4.5,93.3,94.9,0.2,0,2.8,3.8,93.3,93.5,0,0.3,2,2.9,93.3,93.4,0.2,0.2,2.4,3.4,93.3,93.5,.,-1,-1,-1,96.2,94.2,0,0,0,0,95.1,95.5,0.3,0,2.7,3.2,93.7,93.9,0.4,0.3,3,4.5,92.5,93.1,0,0,3.5,4.3,92.1,92.1,0,0,1.7,1.2,94.2,94.2
"013902",-1,-1,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,96.4,97.1,.,.,.,.,.,.,.,.,.,.,0,0,.,.,96.3,97.3,0,0,.,.,96.2,97,0,0,.,.,96.2,97.1,.,.,.,.,.,.,-1,-1,.,.,-1,-1,0,0,.,.,96.6,97.2,0,0,.,.,95.9,96.9,-1,0,.,.,96.2,96.2,-1,0,.,.,97.2,97.2
"013903",-1,-1,-1,-1,96,-1,-1,-1,.,.,-1,-1,.,.,.,.,.,.,0,0,0.6,1.3,95.4,95.4,75,58.823529412,64.1,63,.,-1,0,0,97.3,97.7,0,0,1,2.2,95.2,95,0,0,0,1.3,95.1,95.4,0,0,1.1,2.3,95.2,95.4,.,.,-1,.,-1,-1,.,.,.,-1,.,-1,0,0,1.3,1.3,95.8,95.5,0,0,0,2.2,94.9,95.1,0,0,0,0,95.5,95.3,0,0,0,0,95.8,95.4
